reservation_id,date,service,table_num,party_size,server_id,res_type,hour
9048,2022-01-04,Dinner,4,2,E007,Reservation,19
9049,2022-01-04,Dinner,13,6,E007,Reservation,21
9050,2022-01-04,Dinner,9,3,E006,Reservation,19
9051,2022-01-04,Dinner,9,5,E006,Walk-in,17
9052,2022-01-04,Dinner,15,2,E007,Walk-in,18
9053,2022-01-04,Dinner,8,1,E009,Walk-in,19
9054,2022-01-04,Dinner,10,2,E006,Reservation,20
9055,2022-01-04,Dinner,7,3,E007,Reservation,21
9056,2022-01-04,Dinner,14,2,E009,Reservation,20
9057,2022-01-04,Dinner,4,1,E011,Reservation,17
9058,2022-01-04,Dinner,8,3,E005,Reservation,18
9059,2022-01-04,Dinner,14,2,E011,Reservation,20
9060,2022-01-04,Dinner,3,2,E011,Reservation,18
9061,2022-01-05,Lunch,4,4,E007,Reservation,12
9062,2022-01-05,Lunch,5,1,E007,Walk-in,11
9063,2022-01-05,Lunch,10,1,E009,Reservation,12
9064,2022-01-05,Lunch,10,4,E005,Reservation,11
9065,2022-01-05,Lunch,11,3,E011,Walk-in,14
9066,2022-01-05,Lunch,14,2,E009,Reservation,11
9067,2022-01-05,Lunch,5,2,E009,Reservation,13
9068,2022-01-05,Lunch,11,3,E009,Reservation,13
9069,2022-01-05,Lunch,14,4,E011,Reservation,14
9070,2022-01-05,Lunch,4,4,E007,Reservation,13
9071,2022-01-05,Dinner,3,3,E011,Reservation,18
9072,2022-01-05,Dinner,13,2,E009,Reservation,20
9073,2022-01-05,Dinner,9,2,E009,Walk-in,21
9074,2022-01-05,Dinner,3,2,E006,Walk-in,18
9075,2022-01-05,Dinner,2,6,E006,Reservation,18
9076,2022-01-05,Dinner,6,2,E006,Walk-in,20
9077,2022-01-05,Dinner,10,2,E006,Reservation,18
9078,2022-01-05,Dinner,10,4,E007,Reservation,18
9079,2022-01-05,Dinner,8,2,E009,Reservation,17
9080,2022-01-05,Dinner,1,2,E011,Reservation,17
9081,2022-01-05,Dinner,6,5,E011,Reservation,20
9082,2022-01-05,Dinner,10,2,E006,Reservation,20
9083,2022-01-05,Dinner,13,4,E007,Reservation,20
9084,2022-01-05,Dinner,13,2,E005,Reservation,21
9085,2022-01-06,Lunch,9,2,E005,Walk-in,12
9086,2022-01-06,Lunch,9,2,E006,Walk-in,11
9087,2022-01-06,Lunch,6,2,E007,Walk-in,11
9088,2022-01-06,Lunch,5,4,E007,Reservation,11
9089,2022-01-06,Lunch,11,2,E005,Reservation,13
9090,2022-01-06,Lunch,8,2,E005,Reservation,13
9091,2022-01-06,Lunch,9,4,E005,Reservation,11
9092,2022-01-06,Lunch,14,6,E009,Reservation,12
9093,2022-01-06,Dinner,4,6,E007,Walk-in,20
9094,2022-01-06,Dinner,5,3,E005,Reservation,18
9095,2022-01-06,Dinner,11,4,E009,Reservation,19
9096,2022-01-06,Dinner,16,5,E009,Reservation,21
9097,2022-01-06,Dinner,10,5,E011,Reservation,21
9098,2022-01-06,Dinner,10,2,E006,Reservation,21
9099,2022-01-06,Dinner,15,2,E005,Reservation,19
9100,2022-01-06,Dinner,6,2,E005,Reservation,18
9101,2022-01-06,Dinner,4,2,E009,Walk-in,19
9102,2022-01-06,Dinner,15,2,E007,Walk-in,17
9103,2022-01-06,Dinner,15,2,E011,Walk-in,20
9104,2022-01-06,Dinner,7,4,E009,Walk-in,17
9105,2022-01-07,Lunch,7,3,E007,Walk-in,12
9106,2022-01-07,Lunch,12,4,E011,Walk-in,12
9107,2022-01-07,Lunch,5,2,E005,Reservation,13
9108,2022-01-07,Lunch,13,2,E006,Reservation,13
9109,2022-01-07,Lunch,10,1,E007,Reservation,14
9110,2022-01-07,Lunch,7,3,E009,Walk-in,11
9111,2022-01-07,Lunch,1,3,E006,Walk-in,14
9112,2022-01-07,Lunch,9,2,E011,Walk-in,11
9113,2022-01-07,Dinner,14,2,E006,Reservation,20
9114,2022-01-07,Dinner,1,4,E011,Reservation,21
9115,2022-01-07,Dinner,11,2,E007,Reservation,19
9116,2022-01-07,Dinner,9,2,E007,Walk-in,21
9117,2022-01-07,Dinner,5,2,E006,Walk-in,21
9118,2022-01-07,Dinner,11,5,E005,Reservation,18
9119,2022-01-07,Dinner,1,2,E007,Reservation,20
9120,2022-01-07,Dinner,4,4,E006,Reservation,17
9121,2022-01-07,Dinner,2,2,E006,Walk-in,17
9122,2022-01-07,Dinner,4,3,E007,Walk-in,17
9123,2022-01-07,Dinner,16,2,E011,Reservation,19
9124,2022-01-07,Dinner,9,3,E011,Reservation,19
9125,2022-01-07,Dinner,14,4,E009,Reservation,19
9126,2022-01-07,Dinner,6,6,E007,Reservation,21
9127,2022-01-07,Dinner,6,3,E011,Reservation,20
9128,2022-01-07,Dinner,8,4,E006,Walk-in,20
9129,2022-01-07,Dinner,2,2,E006,Reservation,17
9130,2022-01-07,Dinner,2,4,E005,Reservation,19
9131,2022-01-08,Dinner,5,2,E001,Reservation,20
9132,2022-01-08,Dinner,1,4,E006,Walk-in,17
9133,2022-01-08,Dinner,14,4,E005,Reservation,21
9134,2022-01-08,Dinner,9,2,E009,Walk-in,17
9135,2022-01-08,Dinner,5,2,E011,Reservation,18
9136,2022-01-08,Dinner,11,2,E009,Walk-in,17
9137,2022-01-08,Dinner,3,2,E009,Reservation,18
9138,2022-01-08,Dinner,3,2,E007,Reservation,19
9139,2022-01-08,Dinner,1,2,E007,Reservation,20
9140,2022-01-08,Dinner,12,4,E001,Reservation,20
9141,2022-01-08,Dinner,8,2,E009,Walk-in,19
9142,2022-01-08,Dinner,4,2,E006,Walk-in,17
9143,2022-01-08,Dinner,16,4,E009,Reservation,20
9144,2022-01-08,Dinner,2,2,E007,Reservation,19
9145,2022-01-08,Dinner,7,5,E007,Walk-in,18
9146,2022-01-08,Dinner,12,1,E011,Reservation,21
9147,2022-01-08,Dinner,15,4,E005,Walk-in,17
9148,2022-01-08,Dinner,11,2,E006,Walk-in,17
9149,2022-01-08,Dinner,5,3,E011,Reservation,19
9150,2022-01-08,Dinner,9,2,E006,Reservation,19
9151,2022-01-08,Dinner,5,2,E001,Walk-in,20
9152,2022-01-08,Dinner,15,4,E006,Reservation,19
9153,2022-01-09,Dinner,15,2,E009,Reservation,20
9154,2022-01-09,Dinner,4,2,E007,Reservation,21
9155,2022-01-09,Dinner,16,2,E007,Reservation,21
9156,2022-01-09,Dinner,15,2,E007,Reservation,19
9157,2022-01-09,Dinner,13,3,E009,Reservation,20
9158,2022-01-09,Dinner,15,2,E009,Reservation,21
9159,2022-01-09,Dinner,3,2,E005,Walk-in,21
9160,2022-01-09,Dinner,9,2,E006,Reservation,21
9161,2022-01-09,Dinner,5,3,E009,Walk-in,20
9162,2022-01-09,Dinner,12,6,E007,Reservation,19
9163,2022-01-09,Dinner,13,2,E006,Walk-in,21
9164,2022-01-09,Dinner,1,3,E009,Reservation,20
9165,2022-01-09,Dinner,13,5,E007,Reservation,20
9166,2022-01-09,Dinner,16,3,E005,Reservation,18
9167,2022-01-09,Dinner,3,4,E007,Walk-in,20
9168,2022-01-09,Dinner,12,2,E007,Walk-in,21
9169,2022-01-09,Dinner,11,2,E009,Reservation,18
9170,2022-01-09,Dinner,11,2,E006,Walk-in,21
9171,2022-01-09,Dinner,2,1,E011,Reservation,17
9172,2022-01-09,Dinner,7,2,E005,Reservation,17
9173,2022-01-11,Lunch,11,3,E007,Walk-in,12
9174,2022-01-11,Lunch,11,2,E009,Reservation,13
9175,2022-01-11,Lunch,3,2,E007,Reservation,11
9176,2022-01-11,Lunch,11,2,E007,Reservation,14
9177,2022-01-11,Lunch,5,2,E007,Reservation,12
9178,2022-01-11,Lunch,10,3,E011,Walk-in,12
9179,2022-01-11,Lunch,2,5,E006,Reservation,14
9180,2022-01-11,Lunch,16,2,E007,Reservation,14
9181,2022-01-11,Dinner,11,3,E007,Reservation,18
9182,2022-01-11,Dinner,11,5,E006,Reservation,18
9183,2022-01-11,Dinner,5,4,E011,Reservation,19
9184,2022-01-11,Dinner,10,4,E006,Reservation,21
9185,2022-01-11,Dinner,4,2,E006,Reservation,18
9186,2022-01-11,Dinner,9,3,E011,Reservation,21
9187,2022-01-11,Dinner,12,4,E005,Reservation,17
9188,2022-01-11,Dinner,11,2,E009,Reservation,18
9189,2022-01-11,Dinner,11,2,E011,Reservation,21
9190,2022-01-11,Dinner,7,2,E006,Walk-in,19
9191,2022-01-11,Dinner,14,2,E006,Reservation,18
9192,2022-01-12,Lunch,4,3,E011,Reservation,13
9193,2022-01-12,Lunch,2,4,E005,Reservation,12
9194,2022-01-12,Lunch,1,4,E006,Walk-in,14
9195,2022-01-12,Lunch,9,2,E006,Reservation,11
9196,2022-01-12,Lunch,14,2,E005,Walk-in,13
9197,2022-01-12,Lunch,2,1,E009,Walk-in,13
9198,2022-01-12,Lunch,14,2,E005,Reservation,12
9199,2022-01-12,Lunch,8,2,E006,Reservation,14
9200,2022-01-12,Lunch,16,4,E005,Walk-in,13
9201,2022-01-12,Dinner,5,2,E007,Reservation,21
9202,2022-01-12,Dinner,3,5,E006,Walk-in,18
9203,2022-01-12,Dinner,16,2,E011,Walk-in,19
9204,2022-01-12,Dinner,15,6,E009,Reservation,21
9205,2022-01-12,Dinner,16,2,E011,Reservation,20
9206,2022-01-12,Dinner,9,5,E011,Walk-in,21
9207,2022-01-12,Dinner,3,2,E006,Reservation,20
9208,2022-01-12,Dinner,5,4,E006,Walk-in,21
9209,2022-01-12,Dinner,8,2,E011,Walk-in,18
9210,2022-01-12,Dinner,14,6,E009,Walk-in,20
9211,2022-01-12,Dinner,11,2,E011,Reservation,20
9212,2022-01-12,Dinner,7,4,E005,Walk-in,17
9213,2022-01-13,Lunch,11,2,E005,Reservation,11
9214,2022-01-13,Lunch,4,2,E006,Reservation,13
9215,2022-01-13,Lunch,10,1,E011,Reservation,11
9216,2022-01-13,Lunch,15,2,E007,Reservation,13
9217,2022-01-13,Lunch,4,2,E011,Reservation,13
9218,2022-01-13,Lunch,7,1,E009,Walk-in,11
9219,2022-01-13,Lunch,8,5,E007,Walk-in,12
9220,2022-01-13,Lunch,8,5,E011,Walk-in,14
9221,2022-01-13,Dinner,15,2,E005,Reservation,17
9222,2022-01-13,Dinner,7,3,E005,Reservation,19
9223,2022-01-13,Dinner,12,1,E007,Reservation,20
9224,2022-01-13,Dinner,9,5,E001,Reservation,18
9225,2022-01-13,Dinner,12,3,E007,Reservation,19
9226,2022-01-13,Dinner,15,2,E009,Reservation,19
9227,2022-01-13,Dinner,9,2,E006,Walk-in,21
9228,2022-01-13,Dinner,15,4,E005,Walk-in,19
9229,2022-01-13,Dinner,16,1,E009,Reservation,19
9230,2022-01-13,Dinner,3,2,E006,Walk-in,18
9231,2022-01-13,Dinner,15,2,E007,Walk-in,20
9232,2022-01-14,Lunch,4,6,E005,Reservation,13
9233,2022-01-14,Lunch,3,1,E001,Reservation,11
9234,2022-01-14,Lunch,7,5,E009,Reservation,11
9235,2022-01-14,Lunch,10,2,E005,Walk-in,12
9236,2022-01-14,Lunch,15,3,E009,Walk-in,11
9237,2022-01-14,Lunch,14,4,E009,Walk-in,11
9238,2022-01-14,Lunch,12,4,E009,Reservation,12
9239,2022-01-14,Lunch,14,3,E009,Reservation,12
9240,2022-01-14,Dinner,1,4,E005,Reservation,17
9241,2022-01-14,Dinner,12,5,E007,Reservation,20
9242,2022-01-14,Dinner,3,3,E009,Walk-in,21
9243,2022-01-14,Dinner,16,4,E007,Walk-in,18
9244,2022-01-14,Dinner,10,4,E011,Reservation,20
9245,2022-01-14,Dinner,13,4,E005,Walk-in,20
9246,2022-01-14,Dinner,4,2,E006,Reservation,17
9247,2022-01-14,Dinner,15,2,E007,Walk-in,21
9248,2022-01-14,Dinner,9,2,E006,Reservation,20
9249,2022-01-14,Dinner,8,2,E005,Reservation,21
9250,2022-01-14,Dinner,16,2,E011,Reservation,19
9251,2022-01-14,Dinner,14,4,E007,Reservation,20
9252,2022-01-14,Dinner,2,3,E011,Reservation,18
9253,2022-01-14,Dinner,1,2,E009,Reservation,19
9254,2022-01-14,Dinner,15,2,E009,Reservation,17
9255,2022-01-14,Dinner,13,2,E005,Reservation,18
9256,2022-01-14,Dinner,4,4,E006,Walk-in,18
9257,2022-01-14,Dinner,6,2,E007,Reservation,19
9258,2022-01-15,Dinner,4,2,E007,Walk-in,19
9259,2022-01-15,Dinner,2,4,E009,Walk-in,20
9260,2022-01-15,Dinner,11,6,E005,Reservation,19
9261,2022-01-15,Dinner,1,6,E007,Reservation,17
9262,2022-01-15,Dinner,3,2,E007,Reservation,18
9263,2022-01-15,Dinner,14,3,E006,Reservation,17
9264,2022-01-15,Dinner,12,2,E011,Reservation,17
9265,2022-01-15,Dinner,2,3,E006,Reservation,17
9266,2022-01-15,Dinner,9,2,E011,Reservation,19
9267,2022-01-15,Dinner,7,2,E007,Walk-in,18
9268,2022-01-15,Dinner,8,5,E006,Walk-in,18
9269,2022-01-15,Dinner,3,4,E007,Walk-in,17
9270,2022-01-15,Dinner,2,2,E001,Reservation,20
9271,2022-01-15,Dinner,13,4,E011,Reservation,18
9272,2022-01-15,Dinner,14,3,E005,Reservation,18
9273,2022-01-15,Dinner,15,3,E009,Reservation,17
9274,2022-01-15,Dinner,13,4,E011,Reservation,20
9275,2022-01-15,Dinner,9,4,E006,Walk-in,17
9276,2022-01-15,Dinner,1,3,E006,Walk-in,18
9277,2022-01-16,Dinner,4,3,E007,Walk-in,18
9278,2022-01-16,Dinner,12,2,E005,Walk-in,19
9279,2022-01-16,Dinner,2,4,E007,Reservation,20
9280,2022-01-16,Dinner,11,4,E006,Reservation,18
9281,2022-01-16,Dinner,8,4,E006,Reservation,17
9282,2022-01-16,Dinner,12,2,E005,Reservation,19
9283,2022-01-16,Dinner,2,5,E006,Reservation,17
9284,2022-01-16,Dinner,4,2,E009,Walk-in,20
9285,2022-01-16,Dinner,12,2,E009,Walk-in,17
9286,2022-01-16,Dinner,5,3,E011,Reservation,18
9287,2022-01-16,Dinner,12,2,E009,Reservation,20
9288,2022-01-16,Dinner,15,4,E007,Reservation,20
9289,2022-01-16,Dinner,16,2,E006,Walk-in,19
9290,2022-01-16,Dinner,15,4,E009,Walk-in,18
9291,2022-01-16,Dinner,3,2,E011,Reservation,19
9292,2022-01-16,Dinner,6,2,E009,Reservation,20
9293,2022-01-18,Lunch,9,3,E006,Walk-in,12
9294,2022-01-18,Lunch,12,2,E006,Reservation,11
9295,2022-01-18,Lunch,2,3,E011,Walk-in,14
9296,2022-01-18,Lunch,12,2,E006,Walk-in,11
9297,2022-01-18,Lunch,2,2,E005,Reservation,12
9298,2022-01-18,Lunch,3,2,E006,Walk-in,14
9299,2022-01-18,Lunch,5,4,E007,Reservation,12
9300,2022-01-18,Dinner,10,4,E009,Reservation,20
9301,2022-01-18,Dinner,11,6,E007,Reservation,19
9302,2022-01-18,Dinner,2,4,E005,Walk-in,17
9303,2022-01-18,Dinner,5,5,E009,Walk-in,21
9304,2022-01-18,Dinner,3,2,E001,Reservation,21
9305,2022-01-18,Dinner,6,6,E001,Reservation,18
9306,2022-01-18,Dinner,11,2,E005,Reservation,17
9307,2022-01-18,Dinner,13,3,E007,Reservation,20
9308,2022-01-18,Dinner,16,4,E011,Walk-in,20
9309,2022-01-18,Dinner,6,4,E006,Walk-in,19
9310,2022-01-19,Lunch,13,2,E007,Reservation,13
9311,2022-01-19,Lunch,12,4,E009,Reservation,12
9312,2022-01-19,Lunch,8,2,E011,Walk-in,11
9313,2022-01-19,Lunch,9,3,E007,Reservation,12
9314,2022-01-19,Lunch,14,3,E011,Walk-in,14
9315,2022-01-19,Lunch,2,2,E009,Reservation,14
9316,2022-01-19,Lunch,14,4,E007,Walk-in,14
9317,2022-01-19,Lunch,5,4,E006,Reservation,11
9318,2022-01-19,Dinner,12,2,E005,Walk-in,21
9319,2022-01-19,Dinner,13,4,E006,Reservation,21
9320,2022-01-19,Dinner,4,3,E005,Reservation,18
9321,2022-01-19,Dinner,1,2,E007,Walk-in,21
9322,2022-01-19,Dinner,7,2,E006,Walk-in,21
9323,2022-01-19,Dinner,13,3,E011,Reservation,17
9324,2022-01-19,Dinner,15,4,E005,Walk-in,20
9325,2022-01-19,Dinner,4,4,E005,Walk-in,21
9326,2022-01-19,Dinner,3,2,E007,Reservation,20
9327,2022-01-19,Dinner,6,2,E011,Walk-in,20
9328,2022-01-19,Dinner,16,5,E001,Reservation,19
9329,2022-01-20,Lunch,13,3,E006,Walk-in,14
9330,2022-01-20,Lunch,14,2,E001,Reservation,12
9331,2022-01-20,Lunch,8,2,E006,Reservation,13
9332,2022-01-20,Lunch,14,4,E009,Walk-in,11
9333,2022-01-20,Lunch,15,2,E007,Reservation,13
9334,2022-01-20,Lunch,8,1,E007,Reservation,12
9335,2022-01-20,Lunch,11,3,E009,Walk-in,12
9336,2022-01-20,Dinner,3,6,E011,Reservation,21
9337,2022-01-20,Dinner,6,3,E011,Reservation,20
9338,2022-01-20,Dinner,6,2,E009,Walk-in,21
9339,2022-01-20,Dinner,13,2,E006,Walk-in,20
9340,2022-01-20,Dinner,2,4,E009,Reservation,18
9341,2022-01-20,Dinner,11,3,E007,Walk-in,18
9342,2022-01-20,Dinner,3,3,E006,Walk-in,17
9343,2022-01-20,Dinner,12,5,E011,Reservation,18
9344,2022-01-20,Dinner,4,5,E001,Walk-in,20
9345,2022-01-20,Dinner,11,1,E006,Reservation,20
9346,2022-01-20,Dinner,5,4,E005,Reservation,19
9347,2022-01-21,Lunch,7,6,E001,Walk-in,11
9348,2022-01-21,Lunch,6,2,E006,Walk-in,12
9349,2022-01-21,Lunch,8,2,E009,Reservation,14
9350,2022-01-21,Lunch,4,3,E006,Walk-in,11
9351,2022-01-21,Lunch,11,2,E007,Reservation,11
9352,2022-01-21,Lunch,4,3,E006,Reservation,13
9353,2022-01-21,Lunch,6,2,E011,Walk-in,13
9354,2022-01-21,Lunch,6,6,E005,Reservation,12
9355,2022-01-21,Lunch,5,2,E006,Reservation,12
9356,2022-01-21,Dinner,3,4,E007,Reservation,21
9357,2022-01-21,Dinner,4,2,E009,Reservation,19
9358,2022-01-21,Dinner,3,6,E011,Reservation,20
9359,2022-01-21,Dinner,14,2,E009,Reservation,17
9360,2022-01-21,Dinner,7,2,E009,Reservation,21
9361,2022-01-21,Dinner,11,6,E006,Walk-in,19
9362,2022-01-21,Dinner,1,5,E007,Reservation,18
9363,2022-01-21,Dinner,12,2,E006,Walk-in,20
9364,2022-01-21,Dinner,7,2,E011,Walk-in,18
9365,2022-01-21,Dinner,11,3,E009,Reservation,21
9366,2022-01-21,Dinner,3,2,E006,Walk-in,18
9367,2022-01-21,Dinner,8,6,E006,Reservation,20
9368,2022-01-21,Dinner,2,2,E011,Walk-in,17
9369,2022-01-21,Dinner,7,3,E009,Walk-in,17
9370,2022-01-21,Dinner,4,2,E005,Reservation,18
9371,2022-01-21,Dinner,3,2,E006,Reservation,21
9372,2022-01-21,Dinner,9,2,E005,Reservation,17
9373,2022-01-21,Dinner,7,2,E007,Reservation,20
9374,2022-01-21,Dinner,5,3,E005,Reservation,17
9375,2022-01-22,Dinner,10,2,E006,Reservation,19
9376,2022-01-22,Dinner,11,4,E006,Walk-in,21
9377,2022-01-22,Dinner,7,3,E006,Reservation,20
9378,2022-01-22,Dinner,13,3,E007,Reservation,20
9379,2022-01-22,Dinner,7,2,E007,Reservation,18
9380,2022-01-22,Dinner,3,1,E006,Reservation,18
9381,2022-01-22,Dinner,10,2,E009,Walk-in,18
9382,2022-01-22,Dinner,10,4,E011,Reservation,19
9383,2022-01-22,Dinner,2,5,E007,Walk-in,20
9384,2022-01-22,Dinner,3,3,E009,Reservation,21
9385,2022-01-22,Dinner,5,3,E006,Reservation,21
9386,2022-01-22,Dinner,4,2,E006,Walk-in,18
9387,2022-01-22,Dinner,4,2,E009,Walk-in,17
9388,2022-01-22,Dinner,16,6,E009,Reservation,17
9389,2022-01-22,Dinner,6,2,E011,Reservation,21
9390,2022-01-22,Dinner,5,2,E011,Walk-in,18
9391,2022-01-22,Dinner,5,2,E009,Reservation,18
9392,2022-01-23,Dinner,14,2,E007,Reservation,20
9393,2022-01-23,Dinner,3,3,E006,Reservation,17
9394,2022-01-23,Dinner,11,5,E006,Reservation,21
9395,2022-01-23,Dinner,9,3,E007,Walk-in,17
9396,2022-01-23,Dinner,12,4,E011,Reservation,21
9397,2022-01-23,Dinner,1,3,E009,Reservation,21
9398,2022-01-23,Dinner,7,4,E007,Walk-in,17
9399,2022-01-23,Dinner,12,4,E006,Walk-in,18
9400,2022-01-23,Dinner,7,2,E007,Walk-in,17
9401,2022-01-23,Dinner,15,2,E006,Walk-in,20
9402,2022-01-23,Dinner,12,1,E011,Reservation,20
9403,2022-01-23,Dinner,3,6,E009,Walk-in,19
9404,2022-01-23,Dinner,9,2,E006,Walk-in,18
9405,2022-01-23,Dinner,14,2,E005,Walk-in,19
9406,2022-01-23,Dinner,14,3,E006,Reservation,17
9407,2022-01-23,Dinner,9,2,E011,Reservation,17
9408,2022-01-25,Lunch,15,2,E005,Reservation,11
9409,2022-01-25,Lunch,7,5,E007,Reservation,12
9410,2022-01-25,Lunch,9,3,E011,Reservation,12
9411,2022-01-25,Lunch,8,6,E009,Reservation,11
9412,2022-01-25,Lunch,15,3,E011,Walk-in,13
9413,2022-01-25,Lunch,3,6,E009,Reservation,14
9414,2022-01-25,Lunch,11,2,E011,Reservation,12
9415,2022-01-25,Lunch,5,2,E011,Reservation,11
9416,2022-01-25,Lunch,8,6,E001,Reservation,13
9417,2022-01-25,Dinner,8,3,E009,Reservation,17
9418,2022-01-25,Dinner,16,2,E005,Walk-in,18
9419,2022-01-25,Dinner,16,6,E001,Reservation,17
9420,2022-01-25,Dinner,3,4,E011,Reservation,18
9421,2022-01-25,Dinner,14,2,E006,Reservation,20
9422,2022-01-25,Dinner,11,5,E011,Walk-in,21
9423,2022-01-25,Dinner,5,4,E001,Walk-in,20
9424,2022-01-25,Dinner,10,2,E006,Walk-in,21
9425,2022-01-25,Dinner,13,2,E007,Reservation,21
9426,2022-01-25,Dinner,15,3,E005,Walk-in,21
9427,2022-01-25,Dinner,10,4,E007,Reservation,20
9428,2022-01-25,Dinner,6,4,E006,Walk-in,20
9429,2022-01-25,Dinner,14,4,E011,Reservation,17
9430,2022-01-26,Lunch,8,2,E005,Walk-in,12
9431,2022-01-26,Lunch,12,3,E007,Reservation,12
9432,2022-01-26,Lunch,9,2,E005,Reservation,12
9433,2022-01-26,Lunch,3,4,E006,Walk-in,11
9434,2022-01-26,Lunch,2,2,E011,Reservation,14
9435,2022-01-26,Lunch,10,4,E009,Walk-in,11
9436,2022-01-26,Lunch,2,4,E006,Walk-in,14
9437,2022-01-26,Lunch,10,2,E009,Walk-in,12
9438,2022-01-26,Dinner,7,2,E005,Walk-in,18
9439,2022-01-26,Dinner,10,2,E006,Reservation,21
9440,2022-01-26,Dinner,16,4,E006,Reservation,17
9441,2022-01-26,Dinner,5,4,E001,Reservation,17
9442,2022-01-26,Dinner,2,6,E006,Reservation,21
9443,2022-01-26,Dinner,13,2,E009,Reservation,21
9444,2022-01-26,Dinner,5,4,E007,Walk-in,20
9445,2022-01-26,Dinner,10,4,E006,Walk-in,19
9446,2022-01-26,Dinner,5,4,E005,Walk-in,19
9447,2022-01-26,Dinner,11,3,E007,Walk-in,21
9448,2022-01-26,Dinner,1,2,E011,Walk-in,18
9449,2022-01-26,Dinner,14,2,E001,Walk-in,19
9450,2022-01-27,Lunch,6,2,E007,Reservation,11
9451,2022-01-27,Lunch,8,4,E011,Walk-in,12
9452,2022-01-27,Lunch,16,4,E009,Reservation,12
9453,2022-01-27,Lunch,2,3,E005,Walk-in,13
9454,2022-01-27,Lunch,6,6,E011,Reservation,11
9455,2022-01-27,Lunch,11,2,E001,Reservation,12
9456,2022-01-27,Lunch,7,4,E007,Walk-in,14
9457,2022-01-27,Lunch,3,2,E005,Reservation,14
9458,2022-01-27,Dinner,15,2,E007,Reservation,21
9459,2022-01-27,Dinner,13,2,E009,Reservation,18
9460,2022-01-27,Dinner,8,2,E007,Walk-in,19
9461,2022-01-27,Dinner,7,3,E009,Walk-in,19
9462,2022-01-27,Dinner,3,4,E007,Reservation,21
9463,2022-01-27,Dinner,10,3,E011,Walk-in,20
9464,2022-01-27,Dinner,15,5,E005,Walk-in,20
9465,2022-01-27,Dinner,12,2,E005,Reservation,21
9466,2022-01-27,Dinner,13,2,E011,Walk-in,20
9467,2022-01-27,Dinner,8,2,E011,Walk-in,18
9468,2022-01-27,Dinner,6,6,E009,Reservation,17
9469,2022-01-27,Dinner,9,3,E011,Walk-in,21
9470,2022-01-28,Lunch,2,2,E011,Reservation,14
9471,2022-01-28,Lunch,10,3,E006,Reservation,11
9472,2022-01-28,Lunch,8,4,E009,Walk-in,14
9473,2022-01-28,Lunch,1,2,E009,Walk-in,14
