purchase_id,date,ingredient_category,supplier,qty,unit,unit_cost,total_cost
3037,2022-01-18,paper_supplies,Restaurant Depot,1,case,55.0,54.76
3038,2022-01-21,fresh_produce,Island Fresh Farms,2,case,68.0,131.39
3039,2022-01-21,meat_poultry,Tri-State Meats Co.,42,lb,8.5,333.32
3040,2022-01-21,seafood,North Fork Seafood,23,lb,14.0,321.25
3041,2022-01-21,bread_pastry,Fresca Bakehouse LI,62,unit,2.2,126.72
3042,2022-01-25,fresh_produce,Island Fresh Farms,2,case,68.0,153.73
3043,2022-01-25,meat_poultry,Tri-State Meats Co.,40,lb,8.5,347.1
3044,2022-01-25,seafood,North Fork Seafood,16,lb,14.0,206.03
3045,2022-01-25,pasta_dry,DeCecco Imports,1,case,42.0,43.68
3046,2022-01-25,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,182.76
3047,2022-01-25,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,88.02
3048,2022-01-25,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,362.78
3049,2022-01-25,beer_spirits,Republic National Dist.,2,case,140.0,290.7
3050,2022-01-25,bread_pastry,Fresca Bakehouse LI,61,unit,2.2,131.59
3051,2022-01-25,paper_supplies,Restaurant Depot,1,case,55.0,54.11
3052,2022-01-28,fresh_produce,Island Fresh Farms,2,case,68.0,133.16
3053,2022-01-28,meat_poultry,Tri-State Meats Co.,38,lb,8.5,354.21
3054,2022-01-28,seafood,North Fork Seafood,18,lb,14.0,252.04
3055,2022-01-28,bread_pastry,Fresca Bakehouse LI,58,unit,2.2,122.92
3056,2022-02-01,fresh_produce,Island Fresh Farms,3,case,68.0,192.71
3057,2022-02-01,meat_poultry,Tri-State Meats Co.,37,lb,8.5,315.28
3058,2022-02-01,seafood,North Fork Seafood,20,lb,14.0,291.95
3059,2022-02-01,pasta_dry,DeCecco Imports,2,case,42.0,77.88
3060,2022-02-01,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,187.25
3061,2022-02-01,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,94.35
3062,2022-02-01,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,357.32
3063,2022-02-01,beer_spirits,Republic National Dist.,2,case,140.0,304.57
3064,2022-02-01,bread_pastry,Fresca Bakehouse LI,64,unit,2.2,138.01
3065,2022-02-01,paper_supplies,Restaurant Depot,1,case,55.0,54.77
3066,2022-02-04,fresh_produce,Island Fresh Farms,2,case,68.0,139.78
3067,2022-02-04,meat_poultry,Tri-State Meats Co.,44,lb,8.5,382.89
3068,2022-02-04,seafood,North Fork Seafood,17,lb,14.0,229.88
3069,2022-02-04,bread_pastry,Fresca Bakehouse LI,58,unit,2.2,127.96
3070,2022-02-08,fresh_produce,Island Fresh Farms,2,case,68.0,140.2
3071,2022-02-08,meat_poultry,Tri-State Meats Co.,37,lb,8.5,306.71
3072,2022-02-08,seafood,North Fork Seafood,17,lb,14.0,239.62
3073,2022-02-08,pasta_dry,DeCecco Imports,1,case,42.0,42.91
3074,2022-02-08,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,193.87
3075,2022-02-08,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,86.55
3076,2022-02-08,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,365.51
3077,2022-02-08,beer_spirits,Republic National Dist.,2,case,140.0,297.22
3078,2022-02-08,bread_pastry,Fresca Bakehouse LI,59,unit,2.2,123.31
3079,2022-02-08,paper_supplies,Restaurant Depot,1,case,55.0,56.65
3080,2022-02-11,fresh_produce,Island Fresh Farms,3,case,68.0,195.42
3081,2022-02-11,meat_poultry,Tri-State Meats Co.,43,lb,8.5,398.84
3082,2022-02-11,seafood,North Fork Seafood,16,lb,14.0,227.94
3083,2022-02-11,bread_pastry,Fresca Bakehouse LI,58,unit,2.2,125.85
3084,2022-02-15,fresh_produce,Island Fresh Farms,2,case,68.0,119.05
3085,2022-02-15,meat_poultry,Tri-State Meats Co.,32,lb,8.5,270.48
3086,2022-02-15,seafood,North Fork Seafood,16,lb,14.0,211.67
3087,2022-02-15,pasta_dry,DeCecco Imports,2,case,42.0,80.34
3088,2022-02-15,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,181.73
3089,2022-02-15,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,87.93
3090,2022-02-15,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,552.97
3091,2022-02-15,beer_spirits,Republic National Dist.,1,case,140.0,143.74
3092,2022-02-15,bread_pastry,Fresca Bakehouse LI,72,unit,2.2,160.05
3093,2022-02-15,paper_supplies,Restaurant Depot,1,case,55.0,51.44
3094,2022-02-18,fresh_produce,Island Fresh Farms,2,case,68.0,139.04
3095,2022-02-18,meat_poultry,Tri-State Meats Co.,48,lb,8.5,377.83
3096,2022-02-18,seafood,North Fork Seafood,20,lb,14.0,287.23
3097,2022-02-18,bread_pastry,Fresca Bakehouse LI,68,unit,2.2,140.71
3098,2022-02-22,fresh_produce,Island Fresh Farms,2,case,68.0,138.86
3099,2022-02-22,meat_poultry,Tri-State Meats Co.,34,lb,8.5,288.3
3100,2022-02-22,seafood,North Fork Seafood,19,lb,14.0,270.97
3101,2022-02-22,pasta_dry,DeCecco Imports,1,case,42.0,42.96
3102,2022-02-22,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,197.75
3103,2022-02-22,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,85.25
3104,2022-02-22,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,542.87
3105,2022-02-22,beer_spirits,Republic National Dist.,1,case,140.0,148.65
3106,2022-02-22,bread_pastry,Fresca Bakehouse LI,60,unit,2.2,129.96
3107,2022-02-22,paper_supplies,Restaurant Depot,1,case,55.0,50.44
3108,2022-02-25,fresh_produce,Island Fresh Farms,2,case,68.0,134.77
3109,2022-02-25,meat_poultry,Tri-State Meats Co.,42,lb,8.5,354.32
3110,2022-02-25,seafood,North Fork Seafood,17,lb,14.0,240.74
3111,2022-02-25,bread_pastry,Fresca Bakehouse LI,58,unit,2.2,125.86
3112,2022-03-01,fresh_produce,Island Fresh Farms,3,case,68.0,207.95
3113,2022-03-01,meat_poultry,Tri-State Meats Co.,42,lb,8.5,348.82
3114,2022-03-01,seafood,North Fork Seafood,17,lb,14.0,234.45
3115,2022-03-01,pasta_dry,DeCecco Imports,1,case,42.0,41.91
3116,2022-03-01,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,195.74
3117,2022-03-01,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,90.21
3118,2022-03-01,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,377.9
3119,2022-03-01,beer_spirits,Republic National Dist.,2,case,140.0,284.49
3120,2022-03-01,bread_pastry,Fresca Bakehouse LI,65,unit,2.2,142.81
3121,2022-03-01,paper_supplies,Restaurant Depot,1,case,55.0,52.97
3122,2022-03-04,fresh_produce,Island Fresh Farms,3,case,68.0,197.34
3123,2022-03-04,meat_poultry,Tri-State Meats Co.,30,lb,8.5,254.21
3124,2022-03-04,seafood,North Fork Seafood,15,lb,14.0,211.04
3125,2022-03-04,bread_pastry,Fresca Bakehouse LI,56,unit,2.2,128.42
3126,2022-03-08,fresh_produce,Island Fresh Farms,2,case,68.0,129.51
3127,2022-03-08,meat_poultry,Tri-State Meats Co.,45,lb,8.5,363.3
3128,2022-03-08,seafood,North Fork Seafood,21,lb,14.0,300.55
3129,2022-03-08,pasta_dry,DeCecco Imports,2,case,42.0,80.59
3130,2022-03-08,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,177.67
3131,2022-03-08,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,82.84
3132,2022-03-08,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,541.42
3133,2022-03-08,beer_spirits,Republic National Dist.,2,case,140.0,278.14
3134,2022-03-08,bread_pastry,Fresca Bakehouse LI,61,unit,2.2,134.58
3135,2022-03-08,paper_supplies,Restaurant Depot,1,case,55.0,53.21
3136,2022-03-11,fresh_produce,Island Fresh Farms,3,case,68.0,201.03
3137,2022-03-11,meat_poultry,Tri-State Meats Co.,41,lb,8.5,334.56
3138,2022-03-11,seafood,North Fork Seafood,19,lb,14.0,270.69
3139,2022-03-11,bread_pastry,Fresca Bakehouse LI,58,unit,2.2,124.11
3140,2022-03-15,fresh_produce,Island Fresh Farms,2,case,68.0,134.16
3141,2022-03-15,meat_poultry,Tri-State Meats Co.,38,lb,8.5,324.07
3142,2022-03-15,seafood,North Fork Seafood,18,lb,14.0,259.99
3143,2022-03-15,pasta_dry,DeCecco Imports,2,case,42.0,85.06
3144,2022-03-15,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,93.75
3145,2022-03-15,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,87.98
3146,2022-03-15,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,354.8
3147,2022-03-15,beer_spirits,Republic National Dist.,1,case,140.0,132.66
3148,2022-03-15,bread_pastry,Fresca Bakehouse LI,50,unit,2.2,106.97
3149,2022-03-15,paper_supplies,Restaurant Depot,1,case,55.0,57.75
3150,2022-03-18,fresh_produce,Island Fresh Farms,3,case,68.0,195.86
3151,2022-03-18,meat_poultry,Tri-State Meats Co.,42,lb,8.5,360.57
3152,2022-03-18,seafood,North Fork Seafood,18,lb,14.0,250.56
3153,2022-03-18,bread_pastry,Fresca Bakehouse LI,62,unit,2.2,136.2
3154,2022-03-22,fresh_produce,Island Fresh Farms,3,case,68.0,204.19
3155,2022-03-22,meat_poultry,Tri-State Meats Co.,42,lb,8.5,350.86
3156,2022-03-22,seafood,North Fork Seafood,17,lb,14.0,233.02
3157,2022-03-22,pasta_dry,DeCecco Imports,2,case,42.0,83.15
3158,2022-03-22,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,194.07
3159,2022-03-22,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,83.23
3160,2022-03-22,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,354.93
3161,2022-03-22,beer_spirits,Republic National Dist.,2,case,140.0,268.29
3162,2022-03-22,bread_pastry,Fresca Bakehouse LI,63,unit,2.2,147.41
3163,2022-03-22,paper_supplies,Restaurant Depot,1,case,55.0,55.85
3164,2022-03-25,fresh_produce,Island Fresh Farms,2,case,68.0,132.13
3165,2022-03-25,meat_poultry,Tri-State Meats Co.,39,lb,8.5,318.18
3166,2022-03-25,seafood,North Fork Seafood,21,lb,14.0,296.83
3167,2022-03-25,bread_pastry,Fresca Bakehouse LI,63,unit,2.2,129.76
3168,2022-03-29,fresh_produce,Island Fresh Farms,2,case,68.0,142.17
3169,2022-03-29,meat_poultry,Tri-State Meats Co.,33,lb,8.5,282.77
3170,2022-03-29,seafood,North Fork Seafood,19,lb,14.0,289.5
3171,2022-03-29,pasta_dry,DeCecco Imports,1,case,42.0,39.81
3172,2022-03-29,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,197.24
3173,2022-03-29,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,84.54
3174,2022-03-29,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,499.16
3175,2022-03-29,beer_spirits,Republic National Dist.,2,case,140.0,284.08
3176,2022-03-29,bread_pastry,Fresca Bakehouse LI,41,unit,2.2,90.19
3177,2022-03-29,paper_supplies,Restaurant Depot,1,case,55.0,53.14
3178,2022-04-01,fresh_produce,Island Fresh Farms,3,case,68.0,196.79
3179,2022-04-01,meat_poultry,Tri-State Meats Co.,34,lb,8.5,302.68
3180,2022-04-01,seafood,North Fork Seafood,21,lb,14.0,284.83
3181,2022-04-01,bread_pastry,Fresca Bakehouse LI,52,unit,2.2,113.73
3182,2022-04-05,fresh_produce,Island Fresh Farms,3,case,68.0,206.86
3183,2022-04-05,meat_poultry,Tri-State Meats Co.,43,lb,8.5,363.54
3184,2022-04-05,seafood,North Fork Seafood,18,lb,14.0,243.11
3185,2022-04-05,pasta_dry,DeCecco Imports,1,case,42.0,39.79
3186,2022-04-05,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,93.82
3187,2022-04-05,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,86.08
3188,2022-04-05,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,375.63
3189,2022-04-05,beer_spirits,Republic National Dist.,2,case,140.0,276.96
3190,2022-04-05,bread_pastry,Fresca Bakehouse LI,59,unit,2.2,123.22
3191,2022-04-05,paper_supplies,Restaurant Depot,1,case,55.0,59.11
3192,2022-04-08,fresh_produce,Island Fresh Farms,2,case,68.0,136.26
3193,2022-04-08,meat_poultry,Tri-State Meats Co.,40,lb,8.5,356.04
3194,2022-04-08,seafood,North Fork Seafood,20,lb,14.0,284.36
3195,2022-04-08,bread_pastry,Fresca Bakehouse LI,70,unit,2.2,153.57
3196,2022-04-12,fresh_produce,Island Fresh Farms,3,case,68.0,208.11
3197,2022-04-12,meat_poultry,Tri-State Meats Co.,43,lb,8.5,382.82
3198,2022-04-12,seafood,North Fork Seafood,20,lb,14.0,308.48
3199,2022-04-12,pasta_dry,DeCecco Imports,2,case,42.0,85.56
3200,2022-04-12,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,205.95
3201,2022-04-12,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,92.8
3202,2022-04-12,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,510.72
3203,2022-04-12,beer_spirits,Republic National Dist.,2,case,140.0,271.28
3204,2022-04-12,bread_pastry,Fresca Bakehouse LI,61,unit,2.2,134.42
3205,2022-04-12,paper_supplies,Restaurant Depot,1,case,55.0,56.07
3206,2022-04-15,fresh_produce,Island Fresh Farms,2,case,68.0,148.68
3207,2022-04-15,meat_poultry,Tri-State Meats Co.,32,lb,8.5,274.66
3208,2022-04-15,seafood,North Fork Seafood,18,lb,14.0,245.13
3209,2022-04-15,bread_pastry,Fresca Bakehouse LI,64,unit,2.2,137.35
3210,2022-04-19,fresh_produce,Island Fresh Farms,2,case,68.0,138.13
3211,2022-04-19,meat_poultry,Tri-State Meats Co.,35,lb,8.5,292.55
3212,2022-04-19,seafood,North Fork Seafood,20,lb,14.0,283.92
3213,2022-04-19,pasta_dry,DeCecco Imports,1,case,42.0,40.77
3214,2022-04-19,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,92.7
3215,2022-04-19,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,83.72
3216,2022-04-19,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,566.08
3217,2022-04-19,beer_spirits,Republic National Dist.,2,case,140.0,253.93
3218,2022-04-19,bread_pastry,Fresca Bakehouse LI,59,unit,2.2,132.35
3219,2022-04-19,paper_supplies,Restaurant Depot,1,case,55.0,56.87
3220,2022-04-22,fresh_produce,Island Fresh Farms,3,case,68.0,216.42
3221,2022-04-22,meat_poultry,Tri-State Meats Co.,30,lb,8.5,247.26
3222,2022-04-22,seafood,North Fork Seafood,21,lb,14.0,304.07
3223,2022-04-22,bread_pastry,Fresca Bakehouse LI,65,unit,2.2,142.78
3224,2022-04-26,fresh_produce,Island Fresh Farms,3,case,68.0,215.85
3225,2022-04-26,meat_poultry,Tri-State Meats Co.,38,lb,8.5,322.57
3226,2022-04-26,seafood,North Fork Seafood,24,lb,14.0,319.54
3227,2022-04-26,pasta_dry,DeCecco Imports,2,case,42.0,84.86
3228,2022-04-26,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,189.43
3229,2022-04-26,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,84.12
3230,2022-04-26,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,516.28
3231,2022-04-26,beer_spirits,Republic National Dist.,2,case,140.0,296.78
3232,2022-04-26,bread_pastry,Fresca Bakehouse LI,53,unit,2.2,118.87
3233,2022-04-26,paper_supplies,Restaurant Depot,1,case,55.0,57.58
3234,2022-04-29,fresh_produce,Island Fresh Farms,3,case,68.0,209.52
3235,2022-04-29,meat_poultry,Tri-State Meats Co.,42,lb,8.5,351.26
3236,2022-04-29,seafood,North Fork Seafood,19,lb,14.0,272.39
3237,2022-04-29,bread_pastry,Fresca Bakehouse LI,46,unit,2.2,93.73
3238,2022-05-03,fresh_produce,Island Fresh Farms,3,case,68.0,200.18
3239,2022-05-03,meat_poultry,Tri-State Meats Co.,43,lb,8.5,364.9
3240,2022-05-03,seafood,North Fork Seafood,18,lb,14.0,247.95
3241,2022-05-03,pasta_dry,DeCecco Imports,1,case,42.0,39.04
3242,2022-05-03,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,172.21
3243,2022-05-03,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,89.24
3244,2022-05-03,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,528.23
3245,2022-05-03,beer_spirits,Republic National Dist.,1,case,140.0,145.47
3246,2022-05-03,bread_pastry,Fresca Bakehouse LI,59,unit,2.2,136.35
3247,2022-05-03,paper_supplies,Restaurant Depot,1,case,55.0,56.54
3248,2022-05-06,fresh_produce,Island Fresh Farms,2,case,68.0,134.64
3249,2022-05-06,meat_poultry,Tri-State Meats Co.,37,lb,8.5,307.0
3250,2022-05-06,seafood,North Fork Seafood,17,lb,14.0,235.1
3251,2022-05-06,bread_pastry,Fresca Bakehouse LI,59,unit,2.2,128.8
3252,2022-05-10,fresh_produce,Island Fresh Farms,3,case,68.0,211.38
3253,2022-05-10,meat_poultry,Tri-State Meats Co.,40,lb,8.5,321.43
3254,2022-05-10,seafood,North Fork Seafood,19,lb,14.0,270.92
3255,2022-05-10,pasta_dry,DeCecco Imports,1,case,42.0,40.75
3256,2022-05-10,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,95.3
3257,2022-05-10,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,94.46
3258,2022-05-10,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,579.07
3259,2022-05-10,beer_spirits,Republic National Dist.,2,case,140.0,269.08
3260,2022-05-10,bread_pastry,Fresca Bakehouse LI,59,unit,2.2,123.01
3261,2022-05-10,paper_supplies,Restaurant Depot,1,case,55.0,54.22
3262,2022-05-13,fresh_produce,Island Fresh Farms,2,case,68.0,138.54
3263,2022-05-13,meat_poultry,Tri-State Meats Co.,38,lb,8.5,305.47
3264,2022-05-13,seafood,North Fork Seafood,20,lb,14.0,274.99
3265,2022-05-13,bread_pastry,Fresca Bakehouse LI,55,unit,2.2,120.66
3266,2022-05-17,fresh_produce,Island Fresh Farms,2,case,68.0,135.0
3267,2022-05-17,meat_poultry,Tri-State Meats Co.,35,lb,8.5,308.43
3268,2022-05-17,seafood,North Fork Seafood,16,lb,14.0,231.84
3269,2022-05-17,pasta_dry,DeCecco Imports,1,case,42.0,43.04
3270,2022-05-17,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,93.99
3271,2022-05-17,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,81.7
3272,2022-05-17,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,504.34
3273,2022-05-17,beer_spirits,Republic National Dist.,2,case,140.0,286.99
3274,2022-05-17,bread_pastry,Fresca Bakehouse LI,52,unit,2.2,117.04
3275,2022-05-17,paper_supplies,Restaurant Depot,1,case,55.0,58.83
3276,2022-05-20,fresh_produce,Island Fresh Farms,2,case,68.0,134.18
3277,2022-05-20,meat_poultry,Tri-State Meats Co.,33,lb,8.5,277.85
3278,2022-05-20,seafood,North Fork Seafood,23,lb,14.0,335.31
3279,2022-05-20,bread_pastry,Fresca Bakehouse LI,62,unit,2.2,126.17
3280,2022-05-24,fresh_produce,Island Fresh Farms,3,case,68.0,213.24
3281,2022-05-24,meat_poultry,Tri-State Meats Co.,37,lb,8.5,308.08
3282,2022-05-24,seafood,North Fork Seafood,18,lb,14.0,252.92
3283,2022-05-24,pasta_dry,DeCecco Imports,1,case,42.0,42.26
3284,2022-05-24,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,192.95
3285,2022-05-24,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,86.95
3286,2022-05-24,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,524.68
3287,2022-05-24,beer_spirits,Republic National Dist.,2,case,140.0,275.49
3288,2022-05-24,bread_pastry,Fresca Bakehouse LI,67,unit,2.2,153.23
3289,2022-05-24,paper_supplies,Restaurant Depot,1,case,55.0,51.11
3290,2022-05-27,fresh_produce,Island Fresh Farms,2,case,68.0,122.79
3291,2022-05-27,meat_poultry,Tri-State Meats Co.,44,lb,8.5,367.18
3292,2022-05-27,seafood,North Fork Seafood,21,lb,14.0,292.54
3293,2022-05-27,bread_pastry,Fresca Bakehouse LI,55,unit,2.2,115.32
3294,2022-05-31,fresh_produce,Island Fresh Farms,3,case,68.0,210.68
3295,2022-05-31,meat_poultry,Tri-State Meats Co.,42,lb,8.5,377.57
3296,2022-05-31,seafood,North Fork Seafood,19,lb,14.0,270.59
3297,2022-05-31,pasta_dry,DeCecco Imports,2,case,42.0,91.06
3298,2022-05-31,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,94.87
3299,2022-05-31,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,81.63
3300,2022-05-31,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,368.54
3301,2022-05-31,beer_spirits,Republic National Dist.,2,case,140.0,273.91
3302,2022-05-31,bread_pastry,Fresca Bakehouse LI,48,unit,2.2,102.67
3303,2022-05-31,paper_supplies,Restaurant Depot,1,case,55.0,52.68
3304,2022-06-03,fresh_produce,Island Fresh Farms,2,case,68.0,147.53
3305,2022-06-03,meat_poultry,Tri-State Meats Co.,36,lb,8.5,314.17
3306,2022-06-03,seafood,North Fork Seafood,20,lb,14.0,309.02
3307,2022-06-03,bread_pastry,Fresca Bakehouse LI,64,unit,2.2,141.56
3308,2022-06-07,fresh_produce,Island Fresh Farms,3,case,68.0,208.85
3309,2022-06-07,meat_poultry,Tri-State Meats Co.,45,lb,8.5,390.94
3310,2022-06-07,seafood,North Fork Seafood,19,lb,14.0,279.59
3311,2022-06-07,pasta_dry,DeCecco Imports,2,case,42.0,89.59
3312,2022-06-07,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,88.79
3313,2022-06-07,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,88.33
3314,2022-06-07,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,533.51
3315,2022-06-07,beer_spirits,Republic National Dist.,1,case,140.0,142.81
3316,2022-06-07,bread_pastry,Fresca Bakehouse LI,60,unit,2.2,125.03
3317,2022-06-07,paper_supplies,Restaurant Depot,1,case,55.0,51.35
3318,2022-06-10,fresh_produce,Island Fresh Farms,2,case,68.0,136.2
3319,2022-06-10,meat_poultry,Tri-State Meats Co.,47,lb,8.5,398.67
3320,2022-06-10,seafood,North Fork Seafood,23,lb,14.0,311.91
3321,2022-06-10,bread_pastry,Fresca Bakehouse LI,55,unit,2.2,112.57
3322,2022-06-14,fresh_produce,Island Fresh Farms,3,case,68.0,208.09
3323,2022-06-14,meat_poultry,Tri-State Meats Co.,50,lb,8.5,432.98
3324,2022-06-14,seafood,North Fork Seafood,18,lb,14.0,254.27
3325,2022-06-14,pasta_dry,DeCecco Imports,2,case,42.0,84.55
3326,2022-06-14,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,94.64
3327,2022-06-14,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,85.54
3328,2022-06-14,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,525.76
3329,2022-06-14,beer_spirits,Republic National Dist.,2,case,140.0,297.14
3330,2022-06-14,bread_pastry,Fresca Bakehouse LI,55,unit,2.2,128.32
3331,2022-06-14,paper_supplies,Restaurant Depot,1,case,55.0,53.32
3332,2022-06-17,fresh_produce,Island Fresh Farms,3,case,68.0,200.84
3333,2022-06-17,meat_poultry,Tri-State Meats Co.,37,lb,8.5,330.84
3334,2022-06-17,seafood,North Fork Seafood,13,lb,14.0,178.37
3335,2022-06-17,bread_pastry,Fresca Bakehouse LI,71,unit,2.2,164.49
3336,2022-06-21,fresh_produce,Island Fresh Farms,2,case,68.0,137.73
3337,2022-06-21,meat_poultry,Tri-State Meats Co.,40,lb,8.5,334.02
3338,2022-06-21,seafood,North Fork Seafood,23,lb,14.0,342.16
3339,2022-06-21,pasta_dry,DeCecco Imports,2,case,42.0,85.1
3340,2022-06-21,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,94.51
3341,2022-06-21,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,85.91
3342,2022-06-21,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,522.79
3343,2022-06-21,beer_spirits,Republic National Dist.,2,case,140.0,254.97
